Name,Locus_tag,Fru_1,Glu_1,Gly_1,Glucon_1,Mal_1,Pyr_1,M.G_1,LBexp_1,SMMPr_1,S0_1,G.S_1
dnaA,BSU00010,13.1311545455,13.1420727273,11.8330090909,12.8268727273,12.5859454545,12.0730272727,13.0687090909,14.0676545455,12.9539454545,12.3793,13.1751181818
dnaN,BSU00020,12.5276909091,12.5011727273,11.7984636364,12.3420727273,12.5553272727,10.9799,12.8362090909,13.9954090909,12.1596,12.3455909091,12.6538636364
yaaA,BSU00030,12.7971909091,13.1527,11.8049272727,12.9947,11.6955363636,11.7781727273,12.5463,13.8467272727,12.5625727273,11.5859363636,13.4531636364
recF,BSU00040,13.4449454545,13.1583363636,12.8362090909,13.2869818182,13.1287909091,12.7785363636,12.9603090909,13.7862090909,12.9466909091,12.9045545455,13.4145454545
remB,BSU00050,13.3722363636,13.1922545455,12.6071272727,13.3545818182,13.1727,12.9336,13.1559909091,13.8779727273,12.9932272727,13.1349636364,13.3659545455
gyrB,BSU00060,13.1133545455,12.7950090909,12.6890272727,12.9660454545,13.1221545455,12.4102,12.8935363636,13.6757909091,12.7260272727,12.8986909091,13.0782636364
gyrA,BSU00070,13.2976727273,13.3634727273,13.1922545455,13.3794727273,13.4081818182,12.7864545455,13.4054363636,14.0542909091,13.1462090909,13.0944181818,13.4720363636
yaaC,BSU00080,7.7948909091,8.7860727273,8.6862363636,9.1258636364,7.4448727273,8.9055818182,10.3648090909,7.6062454546,7.6255727273,7.3853363636,7.6087090909
guaB,BSU00090,14.4238727273,14.3168181818,13.6004545455,13.8142090909,14.5446545455,13.5588636364,14.6393181818,15.1624272727,13.9617272727,13.8951909091,14.4587545455
dacA,BSU00100,13.8393363636,13.7251090909,12.5495454545,13.2939272727,13.2499818182,12.4479,13.6212090909,14.6243636364,13.1837727273,12.5276909091,14.0444636364
pdxT,BSU00120,15.0261181818,14.9109090909,14.6393181818,14.8810181818,14.8474090909,14.1067363636,14.8891090909,14.3963545455,14.6965181818,14.2611636364,15.1495818182
serS,BSU00130,12.4808363636,12.3261181818,12.8289909091,12.0212363636,12.7785363636,11.1601,12.6381272727,13.5298181818,11.8515818182,13.2086636364,12.3543
dck,BSU00140,11.5311909091,10.8837636364,10.1958545455,10.7922636364,10.7717,9.7918454546,10.8319454545,12.0931181818,10.5442909091,11.2043272727,11.3959272727
dgk,BSU00150,11.8739363636,11.5499454545,10.5393363636,11.4103909091,10.9053181818,10.3307181818,11.3208454545,12.5243363636,11.0699454545,11.3143,11.9699
yaaH,BSU00160,8.1226909091,7.8499090909,9.1312,9.7609545455,7.8539272727,12.6927545455,7.7635363636,7.7903454546,9.9784454546,7.7265909091,8.1332454546
yaaI,BSU00170,8.8306272727,8.5495363636,11.6255636364,8.5390181818,8.6262454546,8.2537545455,9.1039727273,8.1525727273,7.5313181818,8.4286909091,8.8735090909
yaaJ,BSU00180,11.2289,10.4167363636,9.6844454546,10.2225272727,9.1063,10.0752545455,9.3387363636,10.3533090909,10.4660090909,9.4840181818,10.8044
dnaX,BSU00190,12.1489545455,12.0010181818,11.4439363636,11.9443909091,11.7234454545,12.0702636364,11.9523181818,12.9660454545,11.6125272727,11.2621090909,12.1629727273
recR,BSU00210,12.4572818182,12.3349636364,11.5963909091,12.4479,12.0802363636,12.2080818182,12.3161454545,13.6004545455,12.2177272727,11.6737,12.6051090909
yaaL,BSU00220,12.0140636364,11.7337727273,11.1698181818,12.0682363636,11.4358090909,11.7361090909,11.9842090909,12.2308363636,11.2532,10.9871727273,11.8862909091
bofA,BSU00230,11.0848545455,11.0613545455,10.0337454545,11.3136363636,10.5251181818,12.3594,10.9337909091,11.6227272727,10.7018727273,10.3060818182,11.2235181818
csfB,BSU00240,10.4809090909,11.4554636364,10.7852,11.5796727273,11.6813090909,12.2386818182,11.6496636364,11.7155090909,10.9971636364,11.4578636364,10.7288272727
